Geography,Age,Population,Week_Ending_Sat,Coverage
United States,6 Months - 4 Years,17433786,2024-08-17,3.04254656881841
United States,6 Months - 4 Years,17433786,2024-08-24,3.04254656881841
United States,6 Months - 4 Years,17433786,2024-08-31,5.33455576458825
United States,6 Months - 4 Years,17433786,2024-09-07,7.03335353174929
United States,6 Months - 4 Years,17433786,2024-09-14,9.06171627314776
United States,6 Months - 4 Years,17433786,2024-09-21,11.3625996288405
United States,6 Months - 4 Years,17433786,2024-09-28,13.8978924361856
United States,6 Months - 4 Years,17433786,2024-10-05,16.7962115841714
United States,6 Months - 4 Years,17433786,2024-10-12,20.1315223768175
United States,6 Months - 4 Years,17433786,2024-10-19,23.8247168398866
United States,6 Months - 4 Years,17433786,2024-10-26,27.4888055106363
United States,6 Months - 4 Years,17433786,2024-11-02,30.7917227466235
United States,6 Months - 4 Years,17433786,2024-11-09,33.7001047682034
United States,6 Months - 4 Years,17433786,2024-11-16,36.2869170442652
United States,6 Months - 4 Years,17433786,2024-11-23,38.5864496197721
United States,6 Months - 4 Years,17433786,2024-11-30,40.4652721912153
United States,6 Months - 4 Years,17433786,2024-12-07,41.9416598984763
United States,6 Months - 4 Years,17433786,2024-12-14,43.1121365496326
United States,6 Months - 4 Years,17433786,2024-12-21,44.1093328018975
United States,6 Months - 4 Years,17433786,2024-12-28,44.9751538437419
United States,6 Months - 4 Years,17433786,2025-01-04,45.7475667641466
United States,6 Months - 4 Years,17433786,2025-01-11,46.458380269981
United States,6 Months - 4 Years,17433786,2025-01-18,47.1231041324029
United States,6 Months - 4 Years,17433786,2025-01-25,47.7311975930541
United States,6 Months - 4 Years,17433786,2025-02-01,48.2793433863163
United States,6 Months - 4 Years,17433786,2025-02-08,48.8009753371851
United States,6 Months - 4 Years,17433786,2025-02-15,49.3109952479221
United States,6 Months - 4 Years,17433786,2025-02-22,49.7855933542291
United States,6 Months - 4 Years,17433786,2025-03-01,50.1648524594405
United States,6 Months - 4 Years,17433786,2025-03-08,50.4578340425197
United States,6 Months - 4 Years,17433786,2025-03-15,50.6987218707492
United States,6 Months - 4 Years,17433786,2025-03-22,50.921353530087
United States,6 Months - 4 Years,17433786,2025-03-29,51.1116220771722
United States,6 Months - 4 Years,17433786,2025-04-05,51.2872773120898
United States,6 Months - 4 Years,17433786,2025-04-12,51.4701608223188
United States,6 Months - 4 Years,17433786,2025-04-19,51.6693219920515
United States,6 Months - 4 Years,17433786,2025-04-26,51.8481094739436
United States,6 Months - 4 Years,17433786,2025-05-03,51.9809159872343
United States,6 Months - 4 Years,17433786,2025-05-10,52.07766541698
United States,6 Months - 4 Years,17433786,2025-05-17,52.1629932810486
United States,6 Months - 4 Years,17433786,2025-05-24,52.2505233195097
United States,6 Months - 4 Years,17433786,2025-05-31,52.333059739427
United States,6 Months - 4 Years,17433786,2025-06-07,52.4034067478641
United States,6 Months - 4 Years,17433786,2025-06-14,52.4034067478641
United States,5-12 Years,32585855,2024-08-17,2.74976367157601
United States,5-12 Years,32585855,2024-08-24,2.74976367157601
United States,5-12 Years,32585855,2024-08-31,4.52927668115396
United States,5-12 Years,32585855,2024-09-07,5.51412446795369
United States,5-12 Years,32585855,2024-09-14,7.0184551050935
United States,5-12 Years,32585855,2024-09-21,8.93841495346546
United States,5-12 Years,32585855,2024-09-28,11.1909757008029
United States,5-12 Years,32585855,2024-10-05,13.9910324308621
United States,5-12 Years,32585855,2024-10-12,17.4800171702171
United States,5-12 Years,32585855,2024-10-19,21.5559913513794
United States,5-12 Years,32585855,2024-10-26,25.5965477436167
United States,5-12 Years,32585855,2024-11-02,29.0405729450467
United States,5-12 Years,32585855,2024-11-09,31.8161899071864
United States,5-12 Years,32585855,2024-11-16,34.0875451948285
United States,5-12 Years,32585855,2024-11-23,36.0393747649988
United States,5-12 Years,32585855,2024-11-30,37.6178813288851
