Geography,Age,Population,Week_Ending_Sat,Coverage
United States,6 Months - 4 Years,17433786,2024-08-17,3.80318321102301
United States,6 Months - 4 Years,17433786,2024-08-24,3.80318321102301
United States,6 Months - 4 Years,17433786,2024-08-31,6.66819470573531
United States,6 Months - 4 Years,17433786,2024-09-07,8.79169191468661
United States,6 Months - 4 Years,17433786,2024-09-14,11.3271453414347
United States,6 Months - 4 Years,17433786,2024-09-21,14.2032495360506
United States,6 Months - 4 Years,17433786,2024-09-28,17.372365545232
United States,6 Months - 4 Years,17433786,2024-10-05,20.9952644802143
United States,6 Months - 4 Years,17433786,2024-10-12,25.1644029710219
United States,6 Months - 4 Years,17433786,2024-10-19,29.7808960498583
United States,6 Months - 4 Years,17433786,2024-10-26,34.3610068882954
United States,6 Months - 4 Years,17433786,2024-11-02,38.4896534332793
United States,6 Months - 4 Years,17433786,2024-11-09,42.1251309602543
United States,6 Months - 4 Years,17433786,2024-11-16,45.3586463053315
United States,6 Months - 4 Years,17433786,2024-11-23,48.2330620247151
United States,6 Months - 4 Years,17433786,2024-11-30,50.5815902390191
United States,6 Months - 4 Years,17433786,2024-12-07,52.4270748730954
United States,6 Months - 4 Years,17433786,2024-12-14,53.8901706870408
United States,6 Months - 4 Years,17433786,2024-12-21,55.1366660023719
United States,6 Months - 4 Years,17433786,2024-12-28,56.2189423046773
United States,6 Months - 4 Years,17433786,2025-01-04,57.1844584551832
United States,6 Months - 4 Years,17433786,2025-01-11,58.0729753374763
United States,6 Months - 4 Years,17433786,2025-01-18,58.9038801655036
United States,6 Months - 4 Years,17433786,2025-01-25,59.6639969913176
United States,6 Months - 4 Years,17433786,2025-02-01,60.3491792328954
United States,6 Months - 4 Years,17433786,2025-02-08,61.0012191714814
United States,6 Months - 4 Years,17433786,2025-02-15,61.6387440599027
United States,6 Months - 4 Years,17433786,2025-02-22,62.2319916927864
United States,6 Months - 4 Years,17433786,2025-03-01,62.7060655743007
United States,6 Months - 4 Years,17433786,2025-03-08,63.0722925531496
United States,6 Months - 4 Years,17433786,2025-03-15,63.3734023384365
United States,6 Months - 4 Years,17433786,2025-03-22,63.6516919126088
United States,6 Months - 4 Years,17433786,2025-03-29,63.8895275964653
United States,6 Months - 4 Years,17433786,2025-04-05,64.1090966401122
United States,6 Months - 4 Years,17433786,2025-04-12,64.3377010278985
United States,6 Months - 4 Years,17433786,2025-04-19,64.5866524900644
United States,6 Months - 4 Years,17433786,2025-04-26,64.8101368424295
United States,6 Months - 4 Years,17433786,2025-05-03,64.9761449840428
United States,6 Months - 4 Years,17433786,2025-05-10,65.0970817712249
United States,6 Months - 4 Years,17433786,2025-05-17,65.2037416013107
United States,6 Months - 4 Years,17433786,2025-05-24,65.3131541493871
United States,6 Months - 4 Years,17433786,2025-05-31,65.4163246742837
United States,6 Months - 4 Years,17433786,2025-06-07,65.5042584348302
United States,6 Months - 4 Years,17433786,2025-06-14,65.5042584348302
United States,5-12 Years,32585855,2024-08-17,3.43720458947002
