dates,scenario,18-49,5-17,50-64,0-4,65+
2024-10-12,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-13,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-14,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-15,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-16,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-17,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-18,C_D,65171.71428571428,47266.42857142857,42617.0,15732.42857142857,34920.42857142857
2024-10-19,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-20,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-21,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-22,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-23,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-24,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-25,C_D,66739.71428571429,46840.28571428572,43138.142857142855,15428.0,33705.42857142857
2024-10-26,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-10-27,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-10-28,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-10-29,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-10-30,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-10-31,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-11-01,C_D,63010.857142857145,40534.857142857145,39072.857142857145,14558.714285714286,29846.285714285714
2024-11-02,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
2024-11-03,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
2024-11-04,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
2024-11-05,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
2024-11-06,C_D,58459.42857142857,33145.57142857143,34276.71428571428,13657.285714285714,25900.428571428572
