metrocast_location_id,age,population
beaumont,35,6213
beaumont,36,6037
beaumont,37,6157
beaumont,38,6276
beaumont,39,6194
beaumont,40,5995
beaumont,41,6104
beaumont,42,6041
beaumont,43,6184
beaumont,44,6096
beaumont,45,5879
beaumont,46,5621
beaumont,47,5625
beaumont,48,5161
beaumont,49,5237
beaumont,50,5186
beaumont,51,5216
beaumont,52,5415
beaumont,53,5724
beaumont,54,5529
beaumont,55,5287
beaumont,56,5172
beaumont,57,5145
beaumont,58,5230
beaumont,59,5542
beaumont,60,5723
beaumont,61,5699
beaumont,62,5952
beaumont,63,5842
beaumont,64,5699
beaumont,65,5542
beaumont,66,5573
beaumont,67,5495
beaumont,68,5172
beaumont,69,5072
beaumont,70,4805
beaumont,71,4400
beaumont,72,4109
beaumont,73,3975
beaumont,74,3775
beaumont,75,3584
beaumont,76,3450
beaumont,77,3443
beaumont,78,2421
beaumont,79,2401
beaumont,80,2320
beaumont,81,2313
beaumont,82,1830
beaumont,83,1603
beaumont,84+,9614
boston,0,39794
boston,1,39841
boston,2,39740
boston,3,37590
boston,4,38979
boston,5,38775
boston,6,39703
boston,7,40296
boston,8,40828
boston,9,40974
boston,10,41001
boston,11,41278
boston,12,41415
boston,13,41961
boston,14,42662
boston,15,43750
boston,16,45644
boston,17,46828
boston,18,55678
boston,19,60603
boston,20,58115
boston,21,55436
boston,22,53747
boston,23,56629
boston,24,60736
boston,25,60730
boston,26,61688
boston,27,60917
boston,28,60954
boston,29,61332
boston,30,60918
boston,31,60512
boston,32,59607
boston,33,59469
boston,34,60452
boston,35,59203
boston,36,58447
boston,37,57454
boston,38,56845
boston,39,55654
boston,40,53478
boston,41,53103
boston,42,52156
boston,43,50614
boston,44,49854
boston,45,48473
boston,46,47498
boston,47,46403
boston,48,44684
boston,49,45641
boston,50,44744
boston,51,45564
boston,52,47486
boston,53,50675
boston,54,50719
boston,55,49761
boston,56,49405
boston,57,49847
boston,58,50896
boston,59,52729
boston,60,53137
boston,61,52555
boston,62,51918
boston,63,51516
boston,64,50115
boston,65,49027
boston,66,48163
boston,67,46728
boston,68,44208
boston,69,42982
boston,70,40954
boston,71,39182
boston,72,37504
