NCES_district_id,state,name,event_name,start,end
0900450,CT,Bridgeport School District,Spring Break	,12 Apr 2021,16 Apr 2021
0900450,CT,Bridgeport School District,Last Day of School	,15 Jun 2021,
1000200,DE,Christina School District,First Day of School,31 Aug 2020,
1000200,DE,Christina School District,Fall Break,2 Nov 2020,3 Nov 2020
1000200,DE,Christina School District,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
1000200,DE,Christina School District,Christmas Break	,24 Dec 2020,1 Jan 2021
1000200,DE,Christina School District,Mid Winter Break	,12 Feb 2021,15 Feb 2021
1000200,DE,Christina School District,Spring Break	,25 Mar 2021,26 Mar 2021
1000200,DE,Christina School District,Easter Break	,2 Apr 2021,9 Apr 2021
1000200,DE,Christina School District,Last Day of School	,3 Jun 2021,
1100030,DC,District Of Columbia Public Schools,First Day of School,30 Aug 2021,
1100030,DC,District Of Columbia Public Schools,Fall Break,7 Oct 2021,11 Oct 2021
1100030,DC,District Of Columbia Public Schools,Thanksgiving Break	,24 Nov 2021,26 Nov 2021
1100030,DC,District Of Columbia Public Schools,Christmas Break	,23 Dec 2021,31 Dec 2021
1100030,DC,District Of Columbia Public Schools,Mid Winter Break	,21 Feb 2022,25 Feb 2022
1100030,DC,District Of Columbia Public Schools,March Break	,10 Mar 2022,11 Mar 2022
1100030,DC,District Of Columbia Public Schools,Spring Break	,11 Apr 2022,18 Apr 2022
1100030,DC,District Of Columbia Public Schools,Last Day of School	,22 Jun 2022,
1200390,FL,Miami-Dade County,First Day of School,24 Aug 2020,
1200390,FL,Miami-Dade County,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
1200390,FL,Miami-Dade County,Christmas Break	,21 Dec 2020,1 Jan 2021
1200390,FL,Miami-Dade County,Spring Break	,26 Mar 2021,2 Apr 2021
1200390,FL,Miami-Dade County,Last Day of School	,9 Jun 2021,
1302550,GA,Gwinnett County,First Day of School,12 Aug 2020,
1302550,GA,Gwinnett County,Fall Break,8 Oct 2020,12 Oct 2020
1302550,GA,Gwinnett County,Thanksgiving Break	,23 Nov 2020,27 Nov 2020
1302550,GA,Gwinnett County,Christmas Break	,21 Dec 2020,6 Jan 2021
1302550,GA,Gwinnett County,Mid Winter Break	,12 Feb 2021,15 Feb 2021
1302550,GA,Gwinnett County,Spring Break	,5 Apr 2021,9 Apr 2021
1302550,GA,Gwinnett County,Last Day of School	,26 May 2021,
1500030,HI,Hawaii Department Of Education,First Day of School,4 Aug 2020,
1500030,HI,Hawaii Department Of Education,Fall Break,5 Oct 2020,9 Oct 2020
1500030,HI,Hawaii Department Of Education,Thanksgiving Break	,26 Nov 2020,27 Nov 2020
1500030,HI,Hawaii Department Of Education,Christmas Break	,21 Dec 2020,4 Jan 2021
1500030,HI,Hawaii Department Of Education,Spring Break	,15 Mar 2021,19 Mar 2021
1500030,HI,Hawaii Department Of Education,Last Day of School	,1 Jun 2021,
1602100,ID,West Ada School District,First Day of School,27 Aug 2020,
1602100,ID,West Ada School District,Fall Break,22 Oct 2020,23 Oct 2020
1602100,ID,West Ada School District,Thanksgiving Break	,23 Nov 2020,27 Nov 2020
1602100,ID,West Ada School District,Christmas Break	,21 Dec 2020,1 Jan 2021
1602100,ID,West Ada School District,Spring Break	,22 Mar 2021,26 Mar 2021
1602100,ID,West Ada School District,Last Day of School	,4 Jun 2021,
1709930,IL,Chicago Public Schools,First Day of School,8 Sep 2020,
1709930,IL,Chicago Public Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
1709930,IL,Chicago Public Schools,Christmas Break	,21 Dec 2020,1 Jan 2021
1709930,IL,Chicago Public Schools,Spring Break	,29 Mar 2021,2 Apr 2021
1709930,IL,Chicago Public Schools,Last Day of School	,22 Jun 2021,
1804770,IN,Indianapolis Public Schools,First Day of School,3 Aug 2020,
1804770,IN,Indianapolis Public Schools,Fall Break,12 Oct 2020,16 Oct 2020
1804770,IN,Indianapolis Public Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
1804770,IN,Indianapolis Public Schools,Christmas Break	,18 Dec 2020,1 Jan 2021
1804770,IN,Indianapolis Public Schools,Mid Winter Break	,15 Feb 2021,16 Feb 2021
1804770,IN,Indianapolis Public Schools,Spring Break	,22 Mar 2021,2 Apr 2021
1804770,IN,Indianapolis Public Schools,Last Day of School	,3 Jun 2021,
1908970	,IA,Des Moines Public Schools,First Day of School,8 Sep 2020,
1908970	,IA,Des Moines Public Schools,Fall Break,30 Oct 2020,3 Nov 2020
1908970	,IA,Des Moines Public Schools,Thanksgiving Break	,25 Nov 2020,27 Nov 2020
1908970	,IA,Des Moines Public Schools,Christmas Break	,23 Dec 2020,1 Jan 2021
1908970	,IA,Des Moines Public Schools,Spring Break	,15 Mar 2021,23 Mar 2021
