,United_States,United_States_Alabama,United_States_Alaska,United_States_Arizona,United_States_Arkansas,United_States_California,United_States_Colorado,United_States_Connecticut,United_States_Delaware,United_States_District_of_Columbia,United_States_Florida,United_States_Georgia,United_States_Hawaii,United_States_Idaho,United_States_Illinois,United_States_Indiana,United_States_Iowa,United_States_Kansas,United_States_Kentucky,United_States_Louisiana,United_States_Maine,United_States_Maryland,United_States_Massachusetts,United_States_Michigan,United_States_Minnesota,United_States_Mississippi,United_States_Missouri,United_States_Montana,United_States_Nebraska,United_States_Nevada,United_States_New_Hampshire,United_States_New_Jersey,United_States_New_Mexico,United_States_New_York,United_States_North_Carolina,United_States_North_Dakota,United_States_Ohio,United_States_Oklahoma,United_States_Oregon,United_States_Pennsylvania,United_States_Rhode_Island,United_States_South_Carolina,United_States_South_Dakota,United_States_Tennessee,United_States_Texas,United_States_Utah,United_States_Vermont,United_States_Virginia,United_States_Washington,United_States_West_Virginia,United_States_Wisconsin,United_States_Wyoming
10,4797231,71836,11695,113236,44295,575422,87414,51017,13826,6291,274586,173262,18561,28328,189257,105579,46464,45573,64508,68043,16816,87570,90778,141929,80994,46757,88458,13667,28670,45569,18819,127387,31756,262656,155787,9678,170385,61264,56879,171780,13634,73857,12882,100419,484114,59954,8024,119964,106693,23534,83255,8287
11,4768573,71503,11609,110453,44878,583022,82828,52739,13124,6206,282924,164999,18710,29105,184964,102965,45737,44322,64805,69411,17747,85128,89436,146977,78457,45702,87365,14345,27882,46291,18462,127160,31946,260230,150764,10170,166540,58948,57714,172247,13983,72988,13089,97412,480517,57015,8159,120952,107791,22921,83167,7931
12,4769239,72825,11587,110321,45275,590695,83594,51952,13205,6416,282924,160085,18124,28791,188717,100561,44363,45163,62623,68254,17363,83390,91771,148343,82992,44264,88445,14938,28662,43640,18595,126707,31312,261821,149985,10551,172346,57473,58712,169445,13967,72499,12799,97455,472603,56209,8354,115483,107696,22133,85029,7923
13,4733916,69504,11805,109054,44090,598582,79058,52086,13591,6626,277411,156949,17907,28670,192495,98215,46134,43065,62010,67116,16788,84496,93918,152129,81245,44241,86022,14308,27927,43322,18891,130716,29990,261940,146585,10325,167947,56265,58964,172301,14336,69491,12629,95764,455116,55470,8385,115624,105325,23031,82778,7545
14,4641944,66841,10137,104987,41316,595212,76516,53542,12670,6727,267615,154703,17999,27419,177383,97652,42248,40843,61312,66427,17424,86330,97716,142622,79139,44543,86391,12520,26903,43780,19639,125609,29188,264884,144340,8222,167846,54873,53689,176806,14762,69632,11593,93654,437518,53353,7925,119259,103544,21727,79784,6708
15,4881206,70077,11265,109185,42495,622890,79703,57648,13739,7017,284154,160104,19487,28194,192572,100618,44967,42831,64048,67011,18967,88578,104815,151919,81676,46132,87128,13212,27460,44130,20371,133680,31030,290863,152942,9508,173251,55890,57247,191583,16369,72847,12291,96805,456997,52661,9310,128397,106629,23431,83054,7312
16,4805894,71493,11691,106663,42085,618946,77939,55294,13710,6967,282103,160232,18740,26073,189026,98355,44830,41806,61705,67488,18702,87788,98344,152571,80048,45988,87931,14311,27035,43132,19834,131727,30660,279764,146740,9124,170888,55632,55351,192518,15531,71206,12431,95360,450357,50413,8658,119382,106200,22448,85558,7736
17,4704591,71722,11745,103734,42848,613497,76382,47125,14493,5575,288664,156885,18756,27179,183114,96219,43574,42512,61656,71563,16937,87424,80597,150888,78648,44107,85350,14914,26003,44944,18015,129983,32521,264884,139117,10374,166967,55415,57265,163731,12059,70154,13676,94449,452239,54278,7677,110120,103575,21130,80715,7752
18,4388687,66684,10666,102218,39214,599300,71456,39929,12549,6441,274268,143855,17119,25359,170573,91018,39213,37615,57025,67239,15274,76320,76420,141571,71613,41457,81150,13028,24352,42507,15782,112832,31144,243242,128048,8799,153194,52616,52395,155436,12681,66004,10601,87728,420971,49738,6297,100699,99821,21149,72298,7197
19,4369358,70098,10118,100324,41240,584169,69900,41444,12432,7828,279233,141653,16357,23016,162091,89936,39584,37013,56125,66837,14701,75008,84556,137153,64481,43428,78622,12534,23188,40254,15247,103663,28756,258917,131804,10052,149599,55257,54435,164144,14229,69860,10323,88957,409516,49335,7053,105692,99073,22719,69593,6981
20,4392019,70337,10105,102889,39952,590695,74022,38518,13150,8572,281375,142034,16923,23313,164122,89486,40078,38774,56892,68024,14215,75445,80189,140014,67532,41725,77385,13530,24010,40861,14440,102024,29373,259473,136071,11291,149900,54198,54533,162716,14409,70544,10494,87237,410899,47284,7041,105515,97133,21973,72260,7794
21,4375357,67954,10130,98881,39016,577286,75203,39781,13378,10038,273356,139428,17565,23281,165253,91005,40888,38843,56824,69220,14687,75056,83460,135366,68921,41882,79873,13125,23819,37953,14917,101170,27988,261821,137427,11981,150026,54624,53104,167468,15105,70957,12107,86631,405310,50185,7852,109626,97737,21874,74311,7789
22,4481325,68183,10801,95937,38684,578219,77756,44073,12355,12440,277000,143622,18365,23200,170213,93562,41033,39481,57696,68752,15128,79381,94386,133936,73767,40717,82388,13284,26218,39685,15491,106661,27945,281395,143607,12611,154374,56540,52341,169390,14521,70425,12680,88104,413776,51758,8036,114143,101109,21154,77204,8024
23,4514649,66746,10758,97497,38927,584242,81381,44088,12961,14921,274540,148347,19551,25214,177897,90077,40944,40744,58356,72874,15474,82528,93378,125984,73252,40239,83178,13885,26895,40855,14638,109206,28912,279406,141384,12757,149549,56490,53860,164226,13996,68893,12341,89765,424568,54436,7489,118729,102493,21229,77809,8531
